Tipo do jogo
Aplicativo digital
Aplicativo digital para inclusão de alunos deficientes
Jogo da Memoria
Jogo de carta
jogo cartas uno
Jogo digital CineFut
Aplicativo para auxiliar aulas de mecanica
jogo de RPG
Jogo de baralho
Jogo de tabuleiro
Jogo Digital 
jogo “TRILHA DO CRIME”
Jogo de tabuleiro
Jogo de tabuleiro
lego
Game Zeeman jogo digital
Tipo puzzle2
jogo de tabuleiro
JOGOS DE COMPETIÇÃO
jogo de tabuleiro
Jogo de formula 1
3 jogos
Aplicativo “Quiz Física Fantástica”
Aplicativo RUNTASTIC
Aplicativo LIMC
Aplicativo para auxiliar aulas de libras
Software de fácil interação, utilizando a linguagem Python,
Aparato experimental
Jogo tabuleiro
Scratch
Jogo de cartas
Jogo Em busca do Prêmio Nobel
Jogo de tabuleiro
Jogo de tabuleiro
Jogo de tabuleiro
Jogo de RPG
Dominó, Baralho e Roleta,
jogo de PC
JOGO DE TABULEIRO MUSIWAVE
DOMINÓ
Jogo digital TRE Einstein
Puzzle maker
Bunny Shooter aplicativo digital
 livro-jogo digital
Jogo de Tabuleiro
Jogo de RPG
Experimentos de termo
laboratório multidisciplinar
dois jogos um de tabuleiro tipo trilha e segundo do tipo super trunfo
Serious Game, com o nome de Magnet3D
Plickers,
Oito aplicativos para ensino de mecanica
Aplicativo digital
três jogos um domino, um jogo de tabuleiro e por fim um jogo da memoria
Jogo de Cartas
Jogo de tabuleiro
jogo did ?atico para Windows e OS
Jogo de tabuleiro
APLICATIVO STAR CHART
Fisbook- “Seu manual de física no bolso
